os_total,we_total,dc_teaching_learning,dc_assessment_feedback,dc_facilitating_digital,dl_total
3.20,5.10,3.75,3.50,3.80,4.70
3.00,4.80,3.25,3.00,3.60,4.30
2.80,3.40,2.50,2.30,2.80,3.50
3.40,5.40,4.00,3.75,4.00,4.90
3.10,4.90,3.50,3.20,3.70,4.50
2.70,3.20,2.20,2.00,2.40,3.20
3.30,5.20,3.80,3.60,3.90,4.80
2.90,4.10,3.00,2.80,3.20,4.00
2.60,3.00,2.00,2.20,2.30,3.10
3.50,5.50,4.00,4.00,3.90,4.95
3.05,4.70,3.20,3.10,3.40,4.20
2.75,3.60,2.60,2.50,2.70,3.60
3.25,5.00,3.60,3.40,3.80,4.60
2.95,4.30,3.10,3.00,3.30,4.10
2.50,3.10,2.10,2.00,2.20,3.00
3.45,5.30,3.90,3.70,4.00,4.85
3.15,4.60,3.30,3.20,3.50,4.25
2.85,3.80,2.80,2.70,3.00,3.80
3.35,5.25,3.70,3.60,3.85,4.75
2.65,3.30,2.30,2.10,2.50,3.30
